ControllerAgent_MissReward vs TotalAgent_Origin,,,,,,
열1,열2,열3,열4,공격 수,열6,열7
47,TestTotalAgent_Origin(Clone),1,4,8,1,0
48,TestControllerAgent_MissReward(Clone),1,4,19,0,0
48,TestTotalAgent_Origin(Clone),0,0,23,4,1
49,TestControllerAgent_MissReward(Clone),0,2,11,4,1
49,TestTotalAgent_Origin(Clone),1,4,9,2,0
50,TestControllerAgent_MissReward(Clone),0,0,10,4,1
50,TestTotalAgent_Origin(Clone),1,4,6,0,0
51,TestControllerAgent_MissReward(Clone),0,0,19,4,1
51,TestTotalAgent_Origin(Clone),1,4,15,0,0
52,TestControllerAgent_MissReward(Clone),1,4,3,1,0
52,TestTotalAgent_Origin(Clone),0,1,5,4,1
53,TestControllerAgent_MissReward(Clone),0,3,20,4,1
53,TestTotalAgent_Origin(Clone),1,4,20,3,0
54,TestControllerAgent_MissReward(Clone),1,4,12,1,0
54,TestTotalAgent_Origin(Clone),0,1,14,4,1
55,TestControllerAgent_MissReward(Clone),1,4,20,1,0
55,TestTotalAgent_Origin(Clone),0,1,22,4,1
56,TestControllerAgent_MissReward(Clone),1,4,8,2,0
56,TestTotalAgent_Origin(Clone),0,2,10,4,1
57,TestControllerAgent_MissReward(Clone),1,4,21,2,0
57,TestTotalAgent_Origin(Clone),0,2,22,4,1
58,TestControllerAgent_MissReward(Clone),1,4,14,3,0
58,TestTotalAgent_Origin(Clone),0,3,14,4,1
59,TestControllerAgent_MissReward(Clone),1,4,11,2,0
59,TestTotalAgent_Origin(Clone),0,2,13,4,1
60,TestControllerAgent_MissReward(Clone),1,4,10,2,0
60,TestTotalAgent_Origin(Clone),0,2,12,4,1
61,TestControllerAgent_MissReward(Clone),1,4,13,1,0
61,TestTotalAgent_Origin(Clone),0,1,15,4,1
62,TestControllerAgent_MissReward(Clone),1,4,8,0,0
62,TestTotalAgent_Origin(Clone),0,0,11,4,1
63,TestControllerAgent_MissReward(Clone),1,4,5,1,0
63,TestTotalAgent_Origin(Clone),0,1,8,4,1
64,TestControllerAgent_MissReward(Clone),1,4,34,3,0
64,TestTotalAgent_Origin(Clone),0,3,43,4,1
65,TestControllerAgent_MissReward(Clone),0,3,13,4,1
65,TestTotalAgent_Origin(Clone),1,4,13,3,0
66,TestControllerAgent_MissReward(Clone),1,4,8,0,0
66,TestTotalAgent_Origin(Clone),0,0,11,4,1
67,TestControllerAgent_MissReward(Clone),1,4,9,1,0
67,TestTotalAgent_Origin(Clone),0,1,11,4,1
68,TestControllerAgent_MissReward(Clone),1,4,8,0,0
