열1,열2,열3,열4,열5,열6,열7,열8
47,TestControllerAgent_MissReward(Clone),0,0,29,4,1,15.60938
47,TestTotalAgent_Origin(Clone),1,4,26,0,0,570.8336
48,TestControllerAgent_MissReward(Clone),0,1,12,4,1,12.10106
48,TestTotalAgent_Origin(Clone),1,4,19,1,0,582.9347
49,TestControllerAgent_MissReward(Clone),1,4,4,1,0,3.708275
49,TestTotalAgent_Origin(Clone),0,1,6,4,1,586.6429
50,TestControllerAgent_MissReward(Clone),0,1,22,4,1,12.31539
50,TestTotalAgent_Origin(Clone),1,4,20,1,0,598.9584
51,TestControllerAgent_MissReward(Clone),1,4,21,1,0,12.12634
51,TestTotalAgent_Origin(Clone),0,1,22,4,1,611.0848
52,TestControllerAgent_MissReward(Clone),1,4,37,1,0,20.4773
52,TestTotalAgent_Origin(Clone),0,1,39,4,1,631.562
53,TestControllerAgent_MissReward(Clone),0,1,23,4,1,12.44286
53,TestTotalAgent_Origin(Clone),1,4,20,1,0,644.0046
54,TestControllerAgent_MissReward(Clone),1,4,5,0,0,4.104631
54,TestTotalAgent_Origin(Clone),0,0,7,4,1,648.1093
55,TestControllerAgent_MissReward(Clone),1,4,28,1,0,16.38087
55,TestTotalAgent_Origin(Clone),0,1,30,4,1,664.4902
56,TestControllerAgent_MissReward(Clone),0,3,28,4,1,15.59788
56,TestTotalAgent_Origin(Clone),1,4,27,3,0,680.0883
57,TestControllerAgent_MissReward(Clone),0,0,11,4,1,7.100863
57,TestTotalAgent_Origin(Clone),1,4,10,0,0,687.189
58,TestControllerAgent_MissReward(Clone),1,4,15,2,0,9.14772
58,TestTotalAgent_Origin(Clone),0,2,15,4,1,696.3367
59,TestControllerAgent_MissReward(Clone),1,4,7,1,0,5.512572
59,TestTotalAgent_Origin(Clone),0,1,10,4,1,701.8493
60,TestControllerAgent_MissReward(Clone),1,4,27,3,0,15.59306
60,TestTotalAgent_Origin(Clone),0,3,27,4,1,717.4424
61,TestControllerAgent_MissReward(Clone),1,4,6,0,0,4.924747
61,TestTotalAgent_Origin(Clone),0,0,9,4,1,722.3672
62,TestControllerAgent_MissReward(Clone),0,3,32,4,1,17.80507
62,TestTotalAgent_Origin(Clone),1,4,31,3,0,740.1721
63,TestControllerAgent_MissReward(Clone),1,4,6,0,0,4.861295
63,TestTotalAgent_Origin(Clone),0,0,9,4,1,745.0334
64,TestControllerAgent_MissReward(Clone),1,4,37,3,0,24.43051
64,TestTotalAgent_Origin(Clone),0,3,44,4,1,769.4642
65,TestControllerAgent_MissReward(Clone),1,4,12,2,0,8.079287
65,TestTotalAgent_Origin(Clone),0,2,13,4,1,777.5433
66,TestControllerAgent_MissReward(Clone),1,4,57,3,0,30.59016
66,TestTotalAgent_Origin(Clone),0,3,56,4,1,808.1335
67,TestControllerAgent_MissReward(Clone),1,4,32,0,0,18.13217
67,TestTotalAgent_Origin(Clone),0,0,34,4,1,826.2659
68,TestControllerAgent_MissReward(Clone),1,4,9,0,0,6.667251
68,TestTotalAgent_Origin(Clone),0,0,13,4,1,832.9331
69,TestControllerAgent_MissReward(Clone),0,1,31,4,1,17.60324
69,TestTotalAgent_Origin(Clone),1,4,30,1,0,850.5363
70,TestControllerAgent_MissReward(Clone),0,3,45,4,1,24.27851
70,TestTotalAgent_Origin(Clone),1,4,43,3,0,874.8148
71,TestControllerAgent_MissReward(Clone),1,4,23,1,0,13.24102
71,TestTotalAgent_Origin(Clone),0,1,24,4,1,888.0558
72,TestControllerAgent_MissReward(Clone),0,1,14,4,1,10.98686
72,TestTotalAgent_Origin(Clone),1,4,17,1,0,899.0424
73,TestControllerAgent_MissReward(Clone),1,4,23,3,0,14.00025
73,TestTotalAgent_Origin(Clone),0,3,23,4,1,913.0424
74,TestControllerAgent_MissReward(Clone),1,4,10,1,0,6.953543
74,TestTotalAgent_Origin(Clone),0,1,13,4,1,919.996
75,TestControllerAgent_MissReward(Clone),1,4,28,1,0,15.84458
75,TestTotalAgent_Origin(Clone),0,1,29,4,1,935.8405
76,TestControllerAgent_MissReward(Clone),1,4,5,2,0,4.67298
76,TestTotalAgent_Origin(Clone),0,2,7,4,1,940.5134
77,TestControllerAgent_MissReward(Clone),1,4,50,2,0,26.98861
77,TestTotalAgent_Origin(Clone),0,2,50,4,1,967.5017
78,TestControllerAgent_MissReward(Clone),1,4,19,3,0,11.65206
78,TestTotalAgent_Origin(Clone),0,3,19,4,1,979.1539
79,TestControllerAgent_MissReward(Clone),1,4,32,2,0,18.0154
79,TestTotalAgent_Origin(Clone),0,2,32,4,1,997.1693
80,TestControllerAgent_MissReward(Clone),1,4,15,3,0,9.461587
80,TestTotalAgent_Origin(Clone),0,3,16,4,1,1006.631
81,TestControllerAgent_MissReward(Clone),1,4,6,0,0,5.20308
81,TestTotalAgent_Origin(Clone),0,0,9,4,1,1011.834
82,TestControllerAgent_MissReward(Clone),1,4,20,1,0,11.9787
