열1,열2,열3,열4,열5,열6,열7,열8
41,TestControllerAgent_Origin(Clone),1,4,3,2,0,3.555791
41,TestTotalAgent_MissReward(Clone),0,2,5,4,1,403.7717
42,TestControllerAgent_Origin(Clone),1,4,2,1,0,3.094602
42,TestTotalAgent_MissReward(Clone),0,1,5,4,1,406.8663
43,TestControllerAgent_Origin(Clone),1,4,10,2,0,7.735195
43,TestTotalAgent_MissReward(Clone),0,2,13,4,1,414.6016
44,TestControllerAgent_Origin(Clone),1,4,3,1,0,3.620028
44,TestTotalAgent_MissReward(Clone),0,1,6,4,1,418.2216
45,TestControllerAgent_Origin(Clone),1,4,10,0,0,7.199709
45,TestTotalAgent_MissReward(Clone),0,0,14,4,1,425.4213
46,TestControllerAgent_Origin(Clone),1,4,60,3,0,32.53623
46,TestTotalAgent_MissReward(Clone),0,3,60,4,1,457.9574
47,TestControllerAgent_Origin(Clone),1,4,14,0,0,9.442432
47,TestTotalAgent_MissReward(Clone),0,0,18,4,1,467.3999
48,TestControllerAgent_Origin(Clone),1,4,19,3,0,13.0557
48,TestTotalAgent_MissReward(Clone),0,3,22,4,1,480.4556
49,TestControllerAgent_Origin(Clone),1,4,5,2,0,4.850741
49,TestTotalAgent_MissReward(Clone),0,2,8,4,1,485.3063
50,TestControllerAgent_Origin(Clone),1,4,5,2,0,4.788917
50,TestTotalAgent_MissReward(Clone),0,2,7,4,1,490.0952
51,TestControllerAgent_Origin(Clone),1,4,4,0,0,4.362128
51,TestTotalAgent_MissReward(Clone),0,0,8,4,1,494.4574
52,TestControllerAgent_Origin(Clone),1,4,4,0,0,4.257146
52,TestTotalAgent_MissReward(Clone),0,0,8,4,1,498.7145
53,TestControllerAgent_Origin(Clone),0,2,7,4,1,5.085936
53,TestTotalAgent_MissReward(Clone),1,4,7,2,0,503.8005
54,TestControllerAgent_Origin(Clone),1,4,7,1,0,5.441424
54,TestTotalAgent_MissReward(Clone),0,1,9,4,1,509.2419
55,TestControllerAgent_Origin(Clone),1,4,8,2,0,6.436469
55,TestTotalAgent_MissReward(Clone),0,2,10,4,1,515.6784
56,TestControllerAgent_Origin(Clone),0,3,17,4,1,10.91635
56,TestTotalAgent_MissReward(Clone),1,4,17,3,0,526.5943
57,TestControllerAgent_Origin(Clone),1,4,25,2,0,14.58117
57,TestTotalAgent_MissReward(Clone),0,2,25,4,1,541.1755
58,TestControllerAgent_Origin(Clone),1,4,9,0,0,6.784607
58,TestTotalAgent_MissReward(Clone),0,0,13,4,1,547.9601
59,TestControllerAgent_Origin(Clone),1,4,15,0,0,9.774508
59,TestTotalAgent_MissReward(Clone),0,0,19,4,1,557.7347
60,TestControllerAgent_Origin(Clone),0,3,5,4,1,4.869956
60,TestTotalAgent_MissReward(Clone),1,4,6,3,0,562.6049
61,TestControllerAgent_Origin(Clone),1,4,37,3,0,21.1307
61,TestTotalAgent_MissReward(Clone),0,3,37,4,1,583.7352
62,TestControllerAgent_Origin(Clone),1,4,14,1,0,9.789856
62,TestTotalAgent_MissReward(Clone),0,1,17,4,1,593.525
63,TestControllerAgent_Origin(Clone),1,4,15,2,0,10.03025
63,TestTotalAgent_MissReward(Clone),0,2,17,4,1,603.5554
64,TestControllerAgent_Origin(Clone),1,4,6,1,0,5.258257
64,TestTotalAgent_MissReward(Clone),0,1,9,4,1,608.8137
65,TestControllerAgent_Origin(Clone),1,4,92,2,0,49.49257
65,TestTotalAgent_MissReward(Clone),0,2,94,4,1,658.3055
66,TestControllerAgent_Origin(Clone),0,2,8,4,1,5.513735
66,TestTotalAgent_MissReward(Clone),1,4,7,2,0,663.8195
67,TestControllerAgent_Origin(Clone),1,4,12,3,0,8.613871
67,TestTotalAgent_MissReward(Clone),0,3,13,4,1,672.4335
68,TestControllerAgent_Origin(Clone),1,4,6,1,0,5.329022
68,TestTotalAgent_MissReward(Clone),0,1,9,4,1,677.7625
69,TestControllerAgent_Origin(Clone),1,4,6,1,0,5.389376
69,TestTotalAgent_MissReward(Clone),0,1,9,4,1,683.1517
70,TestControllerAgent_Origin(Clone),1,4,12,1,0,8.884489
70,TestTotalAgent_MissReward(Clone),0,1,16,4,1,692.0362
71,TestControllerAgent_Origin(Clone),0,3,11,4,1,8.163595
71,TestTotalAgent_MissReward(Clone),1,4,13,3,0,700.1996
72,TestControllerAgent_Origin(Clone),1,4,13,1,0,9.743211
72,TestTotalAgent_MissReward(Clone),0,1,17,4,1,709.943
73,TestControllerAgent_Origin(Clone),1,4,56,0,0,31.60468
73,TestTotalAgent_MissReward(Clone),0,0,61,4,1,741.5473
74,TestControllerAgent_Origin(Clone),1,4,11,0,0,7.933192
74,TestTotalAgent_MissReward(Clone),0,0,15,4,1,749.4805
75,TestControllerAgent_Origin(Clone),1,4,4,1,0,3.988201
75,TestTotalAgent_MissReward(Clone),0,1,7,4,1,753.4688
76,TestControllerAgent_Origin(Clone),1,4,10,0,0,7.43004
76,TestTotalAgent_MissReward(Clone),0,0,14,4,1,760.8989
77,TestControllerAgent_Origin(Clone),1,4,18,1,0,11.40102
77,TestTotalAgent_MissReward(Clone),0,1,21,4,1,772.3002
78,TestControllerAgent_Origin(Clone),1,4,25,2,0,14.94368
78,TestTotalAgent_MissReward(Clone),0,2,27,4,1,787.2437
79,TestControllerAgent_Origin(Clone),1,4,14,0,0,9.258323
79,TestTotalAgent_MissReward(Clone),0,0,18,4,1,796.5021
80,TestControllerAgent_Origin(Clone),1,4,4,1,0,4.133736
80,TestTotalAgent_MissReward(Clone),0,1,7,4,1,800.636
81,TestControllerAgent_Origin(Clone),1,4,6,1,0,5.225961
81,TestTotalAgent_MissReward(Clone),0,1,9,4,1,805.862
82,TestControllerAgent_Origin(Clone),1,4,29,0,0,17.09285
82,TestTotalAgent_MissReward(Clone),0,0,33,4,1,822.955
83,TestControllerAgent_Origin(Clone),1,4,8,1,0,6.347555
83,TestTotalAgent_MissReward(Clone),0,1,11,4,1,829.3027
84,TestControllerAgent_Origin(Clone),1,4,5,0,0,4.872521
84,TestTotalAgent_MissReward(Clone),0,0,9,4,1,834.1753
85,TestControllerAgent_Origin(Clone),1,4,5,0,0,4.70644
85,TestTotalAgent_MissReward(Clone),0,0,10,4,1,838.8818
86,TestControllerAgent_Origin(Clone),1,4,16,3,0,10.74236
86,TestTotalAgent_MissReward(Clone),0,3,17,4,1,849.6242
87,TestControllerAgent_Origin(Clone),1,4,3,0,0,3.843644
87,TestTotalAgent_MissReward(Clone),0,0,7,4,1,853.4678
88,TestControllerAgent_Origin(Clone),1,4,28,3,0,16.37251
88,TestTotalAgent_MissReward(Clone),0,3,29,4,1,869.8404
89,TestControllerAgent_Origin(Clone),1,4,7,3,0,5.904111
89,TestTotalAgent_MissReward(Clone),0,3,8,4,1,875.7444
90,TestControllerAgent_Origin(Clone),1,4,63,1,0,34.69759
90,TestTotalAgent_MissReward(Clone),0,1,66,4,1,910.4425
91,TestControllerAgent_Origin(Clone),1,4,4,1,0,4.128977
91,TestTotalAgent_MissReward(Clone),0,1,7,4,1,914.5715
92,TestControllerAgent_Origin(Clone),1,4,2,3,0,3.251828
92,TestTotalAgent_MissReward(Clone),0,3,3,4,1,917.8234
93,TestControllerAgent_Origin(Clone),1,4,11,1,0,7.824876
93,TestTotalAgent_MissReward(Clone),0,1,14,4,1,925.6482
94,TestControllerAgent_Origin(Clone),1,4,5,1,0,4.692445
94,TestTotalAgent_MissReward(Clone),0,1,9,4,1,930.3406
95,TestControllerAgent_Origin(Clone),1,4,47,1,0,26.09213
95,TestTotalAgent_MissReward(Clone),0,1,50,4,1,956.4329
96,TestControllerAgent_Origin(Clone),1,4,16,2,0,10.44726
96,TestTotalAgent_MissReward(Clone),0,2,17,4,1,966.8801
97,TestControllerAgent_Origin(Clone),0,0,8,4,1,4.829979
97,TestTotalAgent_MissReward(Clone),1,4,6,0,0,971.7101
98,TestControllerAgent_Origin(Clone),1,4,16,1,0,9.909695
98,TestTotalAgent_MissReward(Clone),0,1,17,4,1,981.6202
99,TestControllerAgent_Origin(Clone),1,4,7,3,0,5.858857
99,TestTotalAgent_MissReward(Clone),0,3,8,4,1,987.479
100,TestControllerAgent_Origin(Clone),1,4,20,2,0,12.68902
100,TestTotalAgent_MissReward(Clone),0,2,23,4,1,1000.168
101,TestControllerAgent_Origin(Clone),1,4,3,0,0,3.591598
101,TestTotalAgent_MissReward(Clone),0,0,7,4,1,1003.76
