열1,열2,열3,열4,열5,열6,열7,열8
46,TestControllerAgent_MissReward(Clone),0,3,5,4,1,27.56306
46,TestTotalAgent_MissReward(Clone),1,4,48,3,0,582.8829
47,TestControllerAgent_MissReward(Clone),0,1,5,4,1,10.37837
47,TestTotalAgent_MissReward(Clone),1,4,16,1,0,593.2612
48,TestControllerAgent_MissReward(Clone),1,4,11,3,0,8.881522
48,TestTotalAgent_MissReward(Clone),0,3,14,4,1,602.1425
49,TestControllerAgent_MissReward(Clone),1,4,5,1,0,4.494318
49,TestTotalAgent_MissReward(Clone),0,1,7,4,1,606.6368
50,TestControllerAgent_MissReward(Clone),1,4,41,3,0,23.27473
50,TestTotalAgent_MissReward(Clone),0,3,42,4,1,629.9111
51,TestControllerAgent_MissReward(Clone),1,4,6,0,0,5.051596
51,TestTotalAgent_MissReward(Clone),0,0,10,4,1,634.9627
52,TestControllerAgent_MissReward(Clone),1,4,9,3,0,6.473186
52,TestTotalAgent_MissReward(Clone),0,3,9,4,1,641.436
53,TestControllerAgent_MissReward(Clone),0,1,4,4,1,10.68162
53,TestTotalAgent_MissReward(Clone),1,4,17,1,0,652.1177
54,TestControllerAgent_MissReward(Clone),1,4,10,3,0,7.759965
54,TestTotalAgent_MissReward(Clone),0,3,12,4,1,659.8778
55,TestControllerAgent_MissReward(Clone),1,4,5,2,0,4.486186
55,TestTotalAgent_MissReward(Clone),0,2,6,4,1,664.3638
56,TestControllerAgent_MissReward(Clone),1,4,49,1,0,29.00313
56,TestTotalAgent_MissReward(Clone),0,1,55,4,1,693.3673
57,TestControllerAgent_MissReward(Clone),1,4,8,2,0,6.044935
57,TestTotalAgent_MissReward(Clone),0,2,10,4,1,699.4122
58,TestControllerAgent_MissReward(Clone),1,4,10,2,0,8.64306
58,TestTotalAgent_MissReward(Clone),0,2,14,4,1,708.0554
59,TestControllerAgent_MissReward(Clone),1,4,11,3,0,7.337711
59,TestTotalAgent_MissReward(Clone),0,3,12,4,1,715.3931
60,TestControllerAgent_MissReward(Clone),1,4,2,0,0,2.949692
60,TestTotalAgent_MissReward(Clone),0,0,6,4,1,718.3428
61,TestControllerAgent_MissReward(Clone),1,4,20,2,0,12.41794
61,TestTotalAgent_MissReward(Clone),0,2,22,4,1,730.7606
62,TestControllerAgent_MissReward(Clone),1,4,13,0,0,8.576609
62,TestTotalAgent_MissReward(Clone),0,0,16,4,1,739.3371
63,TestControllerAgent_MissReward(Clone),0,2,3,4,1,18.26224
63,TestTotalAgent_MissReward(Clone),1,4,31,2,0,757.5992
64,TestControllerAgent_MissReward(Clone),1,4,7,3,0,5.243119
64,TestTotalAgent_MissReward(Clone),0,3,7,4,1,762.8424
65,TestControllerAgent_MissReward(Clone),1,4,6,1,0,4.98542
65,TestTotalAgent_MissReward(Clone),0,1,8,4,1,767.8277
66,TestControllerAgent_MissReward(Clone),1,4,7,3,0,5.826224
66,TestTotalAgent_MissReward(Clone),0,3,8,4,1,773.654
67,TestControllerAgent_MissReward(Clone),1,4,7,1,0,5.536916
67,TestTotalAgent_MissReward(Clone),0,1,10,4,1,779.1909
68,TestControllerAgent_MissReward(Clone),0,2,14,4,1,8.215393
68,TestTotalAgent_MissReward(Clone),1,4,12,2,0,787.4063
69,TestControllerAgent_MissReward(Clone),1,4,8,2,0,5.873049
69,TestTotalAgent_MissReward(Clone),0,2,9,4,1,793.2794
70,TestControllerAgent_MissReward(Clone),0,2,11,4,1,8.360127
70,TestTotalAgent_MissReward(Clone),1,4,13,2,0,801.6395
71,TestControllerAgent_MissReward(Clone),1,4,5,3,0,4.352654
71,TestTotalAgent_MissReward(Clone),0,3,5,4,1,805.9921
72,TestControllerAgent_MissReward(Clone),1,4,9,3,0,6.52173
72,TestTotalAgent_MissReward(Clone),0,3,10,4,1,812.5137
73,TestControllerAgent_MissReward(Clone),1,4,5,3,0,4.399343
73,TestTotalAgent_MissReward(Clone),0,3,5,4,1,816.9131
74,TestControllerAgent_MissReward(Clone),1,4,6,2,0,5.220277
74,TestTotalAgent_MissReward(Clone),0,2,8,4,1,822.1334
75,TestControllerAgent_MissReward(Clone),1,4,6,1,0,5.064531
75,TestTotalAgent_MissReward(Clone),0,1,9,4,1,827.1979
76,TestControllerAgent_MissReward(Clone),1,4,13,3,0,8.852552
76,TestTotalAgent_MissReward(Clone),0,3,14,4,1,836.0502
77,TestControllerAgent_MissReward(Clone),1,4,3,2,0,3.440782
77,TestTotalAgent_MissReward(Clone),0,2,5,4,1,839.4909
78,TestControllerAgent_MissReward(Clone),1,4,5,0,0,5.179523
78,TestTotalAgent_MissReward(Clone),0,0,10,4,1,844.6705
79,TestControllerAgent_MissReward(Clone),0,0,7,4,1,3.756472
79,TestTotalAgent_MissReward(Clone),1,4,4,0,0,848.427
80,TestControllerAgent_MissReward(Clone),1,4,7,1,0,5.918864
80,TestTotalAgent_MissReward(Clone),0,1,9,4,1,854.3459
81,TestControllerAgent_MissReward(Clone),1,4,47,0,0,26.36769
81,TestTotalAgent_MissReward(Clone),0,0,52,4,1,880.7131
82,TestControllerAgent_MissReward(Clone),0,0,38,4,1,28.39573
82,TestTotalAgent_MissReward(Clone),1,4,50,0,0,909.1086
83,TestControllerAgent_MissReward(Clone),0,3,0,4,1,4.648902
83,TestTotalAgent_MissReward(Clone),1,4,5,3,0,913.7574
84,TestControllerAgent_MissReward(Clone),1,4,9,1,0,5.980406
84,TestTotalAgent_MissReward(Clone),0,1,10,4,1,919.7379
85,TestControllerAgent_MissReward(Clone),1,4,2,2,0,3.069252
85,TestTotalAgent_MissReward(Clone),0,2,4,4,1,922.8072
86,TestControllerAgent_MissReward(Clone),0,3,63,4,1,40.83027
