열1,열2,열3,열4,열5,열6,열7,열8
39,TestTotalAgent_MissReward(Clone),0,0,43,4,1,820.8773
40,TestControllerAgent_MissReward(Clone),1,4,13,1,0,8.534472
40,TestTotalAgent_MissReward(Clone),0,1,16,4,1,829.4119
41,TestControllerAgent_MissReward(Clone),1,4,81,0,0,45.1799
41,TestTotalAgent_MissReward(Clone),0,0,86,4,1,874.5923
42,TestControllerAgent_MissReward(Clone),1,4,6,1,0,6.720881
42,TestTotalAgent_MissReward(Clone),0,1,12,4,1,881.3132
43,TestControllerAgent_MissReward(Clone),1,4,70,3,0,41.17886
43,TestTotalAgent_MissReward(Clone),0,3,75,4,1,922.4922
44,TestControllerAgent_MissReward(Clone),0,2,55,4,1,30.30437
44,TestTotalAgent_MissReward(Clone),1,4,55,2,0,952.7961
45,TestControllerAgent_MissReward(Clone),1,4,5,1,0,5.720575
45,TestTotalAgent_MissReward(Clone),0,1,9,4,1,958.5165
46,TestControllerAgent_MissReward(Clone),1,4,83,0,0,47.24048
46,TestTotalAgent_MissReward(Clone),0,0,91,4,1,1005.756
47,TestControllerAgent_MissReward(Clone),1,4,11,3,0,7.502841
47,TestTotalAgent_MissReward(Clone),0,3,11,4,1,1013.259
48,TestControllerAgent_MissReward(Clone),1,4,57,0,0,38.67604
48,TestTotalAgent_MissReward(Clone),0,0,74,4,1,1051.934
49,TestControllerAgent_MissReward(Clone),1,4,23,1,0,16.12082
49,TestTotalAgent_MissReward(Clone),0,1,28,4,1,1068.055
50,TestControllerAgent_MissReward(Clone),1,4,10,1,0,7.118693
50,TestTotalAgent_MissReward(Clone),0,1,13,4,1,1075.173
51,TestControllerAgent_MissReward(Clone),1,4,9,1,0,6.521711
51,TestTotalAgent_MissReward(Clone),0,1,10,4,1,1081.695
52,TestControllerAgent_MissReward(Clone),1,4,21,1,0,12.48087
52,TestTotalAgent_MissReward(Clone),0,1,23,4,1,1094.176
53,TestControllerAgent_MissReward(Clone),0,0,107,0,0,60.00089
53,TestTotalAgent_MissReward(Clone),0,0,116,0,0,1154.177
54,TestControllerAgent_MissReward(Clone),1,4,36,1,0,20.05593
54,TestTotalAgent_MissReward(Clone),0,1,38,4,1,1174.232
55,TestControllerAgent_MissReward(Clone),0,3,14,4,1,8.919254
55,TestTotalAgent_MissReward(Clone),1,4,13,3,0,1183.15
56,TestControllerAgent_MissReward(Clone),0,2,93,3,0,60.06167
56,TestTotalAgent_MissReward(Clone),0,3,111,2,0,1243.21
57,TestControllerAgent_MissReward(Clone),1,4,12,0,0,8.003039
57,TestTotalAgent_MissReward(Clone),0,0,15,4,1,1251.213
58,TestControllerAgent_MissReward(Clone),1,4,13,0,0,8.485284
58,TestTotalAgent_MissReward(Clone),0,0,16,4,1,1259.698
59,TestControllerAgent_MissReward(Clone),1,4,87,3,0,47.64385
59,TestTotalAgent_MissReward(Clone),0,3,89,4,1,1307.343
60,TestControllerAgent_MissReward(Clone),1,4,39,1,0,22.28842
60,TestTotalAgent_MissReward(Clone),0,1,42,4,1,1329.633
61,TestControllerAgent_MissReward(Clone),1,4,67,2,0,37.84193
