열1,열2,열3,열4,열5,열6,열7,열8
47,TestControllerAgent_Origin(Clone),1,4,14,1,0,8.939004
47,TestTotalAgent_MissReward(Clone),0,1,17,4,1,988.7262
48,TestControllerAgent_Origin(Clone),1,4,12,2,0,8.597101
48,TestTotalAgent_MissReward(Clone),0,2,14,4,1,997.3233
49,TestControllerAgent_Origin(Clone),1,4,35,0,0,21.3378
49,TestTotalAgent_MissReward(Clone),0,0,38,4,1,1018.661
50,TestControllerAgent_Origin(Clone),1,4,12,1,0,8.483917
50,TestTotalAgent_MissReward(Clone),0,1,15,4,1,1027.145
51,TestControllerAgent_Origin(Clone),1,4,7,0,0,5.400959
51,TestTotalAgent_MissReward(Clone),0,0,9,4,1,1032.546
52,TestControllerAgent_Origin(Clone),1,4,13,1,0,8.874823
52,TestTotalAgent_MissReward(Clone),0,1,17,4,1,1041.421
53,TestControllerAgent_Origin(Clone),1,4,39,2,0,23.08926
53,TestTotalAgent_MissReward(Clone),0,2,39,4,1,1064.51
54,TestControllerAgent_Origin(Clone),1,4,9,0,0,6.678774
54,TestTotalAgent_MissReward(Clone),0,0,13,4,1,1071.189
55,TestControllerAgent_Origin(Clone),1,4,19,0,0,12.56543
55,TestTotalAgent_MissReward(Clone),0,0,24,4,1,1083.755
56,TestControllerAgent_Origin(Clone),1,4,84,0,0,46.1774
56,TestTotalAgent_MissReward(Clone),0,0,90,4,1,1129.932
57,TestControllerAgent_Origin(Clone),1,4,24,1,0,15.40116
57,TestTotalAgent_MissReward(Clone),0,1,28,4,1,1145.333
58,TestControllerAgent_Origin(Clone),1,4,27,0,0,17.28052
58,TestTotalAgent_MissReward(Clone),0,0,34,4,1,1162.614
59,TestControllerAgent_Origin(Clone),1,4,53,3,0,29.57274
59,TestTotalAgent_MissReward(Clone),0,3,54,4,1,1192.187
60,TestControllerAgent_Origin(Clone),1,4,20,0,0,12.86706
60,TestTotalAgent_MissReward(Clone),0,0,25,4,1,1205.054
61,TestControllerAgent_Origin(Clone),0,3,113,0,0,60.01683
61,TestTotalAgent_MissReward(Clone),0,0,115,3,0,1264.984
62,TestControllerAgent_Origin(Clone),1,4,9,0,0,6.771747
62,TestTotalAgent_MissReward(Clone),0,0,13,4,1,1271.843
63,TestControllerAgent_Origin(Clone),1,4,38,1,0,21.82175
63,TestTotalAgent_MissReward(Clone),0,1,42,4,1,1293.665
64,TestControllerAgent_Origin(Clone),1,4,4,1,0,4.211073
64,TestTotalAgent_MissReward(Clone),0,1,7,4,1,1297.876
65,TestControllerAgent_Origin(Clone),1,4,101,1,0,54.95533
65,TestTotalAgent_MissReward(Clone),0,1,104,4,1,1352.832
66,TestControllerAgent_Origin(Clone),1,4,10,1,0,7.512277
66,TestTotalAgent_MissReward(Clone),0,1,14,4,1,1360.344
67,TestControllerAgent_Origin(Clone),1,4,57,0,0,31.36323
67,TestTotalAgent_MissReward(Clone),0,0,60,4,1,1391.706
68,TestControllerAgent_Origin(Clone),1,4,52,3,0,29.4221
68,TestTotalAgent_MissReward(Clone),0,3,54,4,1,1421.128
69,TestControllerAgent_Origin(Clone),1,4,18,0,0,11.86075
69,TestTotalAgent_MissReward(Clone),0,0,23,4,1,1432.989
70,TestControllerAgent_Origin(Clone),1,4,12,1,0,8.599043
70,TestTotalAgent_MissReward(Clone),0,1,15,4,1,1441.588
71,TestControllerAgent_Origin(Clone),1,4,21,0,0,13.41469
71,TestTotalAgent_MissReward(Clone),0,0,25,4,1,1455.003
72,TestControllerAgent_Origin(Clone),1,4,13,0,0,9.004366
72,TestTotalAgent_MissReward(Clone),0,0,18,4,1,1464.007
73,TestControllerAgent_Origin(Clone),0,2,114,2,0,60.05612
73,TestTotalAgent_MissReward(Clone),0,2,112,2,0,1523.963
74,TestControllerAgent_Origin(Clone),1,4,28,0,0,16.4737
74,TestTotalAgent_MissReward(Clone),0,0,32,4,1,1540.536
75,TestControllerAgent_Origin(Clone),1,4,16,0,0,10.24229
75,TestTotalAgent_MissReward(Clone),0,0,20,4,1,1550.778
76,TestControllerAgent_Origin(Clone),1,4,20,0,0,12.5559
76,TestTotalAgent_MissReward(Clone),0,0,24,4,1,1563.334
77,TestControllerAgent_Origin(Clone),1,4,75,3,0,41.66574
77,TestTotalAgent_MissReward(Clone),0,3,77,4,1,1605
78,TestControllerAgent_Origin(Clone),1,4,34,1,0,20.27133
78,TestTotalAgent_MissReward(Clone),0,1,38,4,1,1625.272
