열1,열2,열3,열4,열5,열6,열7,열8
41,TestControllerAgent_MissReward(Clone),1,4,7,1,0,4.666662
41,TestTotalAgent_Origin(Clone),0,1,10,4,1,474.2969
42,TestControllerAgent_MissReward(Clone),1,4,11,1,0,6.999992
42,TestTotalAgent_Origin(Clone),0,1,13,4,1,481.297
43,TestControllerAgent_MissReward(Clone),1,4,6,1,0,4.666662
43,TestTotalAgent_Origin(Clone),0,1,9,4,1,485.9637
44,TestControllerAgent_MissReward(Clone),1,4,10,0,0,8.709258
44,TestTotalAgent_Origin(Clone),0,0,13,4,1,494.6729
45,TestControllerAgent_MissReward(Clone),1,4,29,1,0,16.32474
45,TestTotalAgent_Origin(Clone),0,1,30,4,1,510.9976
46,TestControllerAgent_MissReward(Clone),1,4,24,1,0,14.00536
46,TestTotalAgent_Origin(Clone),0,1,26,4,1,525.0029
47,TestControllerAgent_MissReward(Clone),1,4,32,1,0,18.38812
47,TestTotalAgent_Origin(Clone),0,1,35,4,1,543.3909
48,TestControllerAgent_MissReward(Clone),1,4,18,2,0,14.6252
48,TestTotalAgent_Origin(Clone),0,2,24,4,1,558.0161
49,TestControllerAgent_MissReward(Clone),1,4,14,1,0,8.617887
49,TestTotalAgent_Origin(Clone),0,1,16,4,1,566.634
50,TestControllerAgent_MissReward(Clone),1,4,35,1,0,19.83986
50,TestTotalAgent_Origin(Clone),0,1,37,4,1,586.4737
51,TestControllerAgent_MissReward(Clone),0,1,36,4,1,19.34873
51,TestTotalAgent_Origin(Clone),1,4,33,1,0,605.8223
52,TestControllerAgent_MissReward(Clone),1,4,11,2,0,7.658352
52,TestTotalAgent_Origin(Clone),0,2,13,4,1,613.4807
53,TestControllerAgent_MissReward(Clone),1,4,9,0,0,6.638001
53,TestTotalAgent_Origin(Clone),0,0,12,4,1,620.1187
54,TestControllerAgent_MissReward(Clone),1,4,14,0,0,8.025397
54,TestTotalAgent_Origin(Clone),0,0,18,4,1,628.144
55,TestControllerAgent_MissReward(Clone),0,2,28,4,1,16.65653
55,TestTotalAgent_Origin(Clone),1,4,26,2,0,644.8005
56,TestControllerAgent_MissReward(Clone),1,4,16,1,0,8.309657
56,TestTotalAgent_Origin(Clone),0,1,17,4,1,653.1102
57,TestControllerAgent_MissReward(Clone),0,0,28,4,1,16.01217
57,TestTotalAgent_Origin(Clone),1,4,24,0,0,669.1223
58,TestControllerAgent_MissReward(Clone),0,0,33,4,1,16.66287
58,TestTotalAgent_Origin(Clone),1,4,29,0,0,685.7851
59,TestControllerAgent_MissReward(Clone),1,4,26,0,0,14.89497
59,TestTotalAgent_Origin(Clone),0,0,27,4,1,700.6799
60,TestControllerAgent_MissReward(Clone),0,0,19,4,1,9.713817
60,TestTotalAgent_Origin(Clone),1,4,16,0,0,710.3937
61,TestControllerAgent_MissReward(Clone),1,4,15,0,0,10.26116
61,TestTotalAgent_Origin(Clone),0,0,19,4,1,720.6549
62,TestControllerAgent_MissReward(Clone),1,4,25,2,0,14.31966
62,TestTotalAgent_Origin(Clone),0,2,26,4,1,734.9747
63,TestControllerAgent_MissReward(Clone),1,4,8,0,0,6.344189
63,TestTotalAgent_Origin(Clone),0,0,11,4,1,741.319
64,TestControllerAgent_MissReward(Clone),0,1,29,4,1,16.94103
